Comune,Regione,Media Incidenti,Media Feriti,Media Morti,Media Superficie(Kmq),Media Popolazione,Incidenti_Pro_Capite_1000,Lesività_Pro_Capite_1000,Densità_Incidenti_Kmq
Alcara li Fusi,Sicilia,0.6363636363636364,0.8181818181818182,0.2727272727272727,62.93456363636364,1822.5454545454545,0.34916201117318435,0.5985634477254589,0.010111512650513476
Aldeno,Trentino-Alto Adige/Südtirol,3.8181818181818183,6.2727272727272725,0.0,8.972036363636363,3177.181818181818,1.2017511230650377,1.9743054164639904,0.42556468380544
Aldino/Aldein,Trentino-Alto Adige/Südtirol,2.7,3.7,0.0,62.68942,1662.4,1.624157844080847,2.2256977863330127,0.043069468500426394
Ales,Sardegna,0.6,1.0,0.0,22.45215,1361.2,0.44078754040552454,0.7346459006758742,0.026723498640442007
Alessandria,Piemonte,419.45454545454544,550.4545454545455,6.0,203.62217272727273,92398.81818181818,4.539609420427455,6.0223123672380705,2.059964982381138
Alessandria del Carretto,Calabria,0.18181818181818182,0.36363636363636365,0.09090909090909091,41.111636363636364,398.54545454545456,0.4562043795620438,1.1405109489051095,0.004422547918306695
Alessandria della Rocca,Sicilia,0.8181818181818182,1.0909090909090908,0.09090909090909091,62.240663636363635,2672.090909090909,0.30619535263498115,0.44228217602830605,0.013145454601223142
Alessano,Puglia,11.363636363636363,17.636363636363637,0.2727272727272727,28.692518181818183,6223.636363636364,1.8258837277242184,2.877592754893368,0.39604876405854295
Alezio,Puglia,5.2727272727272725,7.363636363636363,0.0,16.789363636363635,5665.454545454545,0.9306803594351732,1.2997432605905006,0.3140516452515933
Alfano,Campania,0.0,0.0,0.0,4.8222,975.1,0.0,0.0,0.0
Alfedena,Abruzzo,2.3636363636363638,3.727272727272727,0.09090909090909091,39.950036363636364,918.4545454545455,2.573493021874691,4.1571810353360386,0.059164811318865564
Alfianello,Lombardia,3.4545454545454546,4.7272727272727275,0.18181818181818182,13.739390909090908,2405.4545454545455,1.436130007558579,2.0408163265306123,0.2514336681591681
Alfiano Natta,Piemonte,0.5,0.9,0.0,13.158949999999999,738.0,0.6775067750677507,1.2195121951219512,0.037996952644397924
Alfonsine,Emilia-Romagna,27.818181818181817,36.72727272727273,0.5454545454545454,106.79035454545455,11746.181818181818,2.368274410253235,3.1731781313850536,0.2604933932150324
Alghero,Sardegna,152.0,213.36363636363637,1.4545454545454546,225.59388181818184,42380.90909090909,3.5865205173856154,5.068748793410412,0.6737771378148674
Algua,Lombardia,0.8181818181818182,1.5454545454545454,0.0,8.3232,673.6363636363636,1.2145748987854252,2.294197031039136,0.09830135262661215
Alia,Sicilia,1.2727272727272727,1.8181818181818181,0.09090909090909091,45.9748,3446.181818181818,0.369315184129999,0.5539727761949984,0.027683149741320738
Aliano,Basilicata,2.3636363636363638,3.727272727272727,0.2727272727272727,98.4081,922.4545454545455,2.562333694688085,4.336257021779836,0.02401871760186777
Alice Bel Colle,Piemonte,1.3,1.8,0.3,12.21326,732.1,1.7757137003141648,2.868460592815189,0.10644168714986826
Alice Castello,Piemonte,10.090909090909092,16.90909090909091,0.5454545454545454,24.565,2580.090909090909,3.9110672633099615,6.765089320319933,0.4107840053290898
Alice Superiore,Piemonte,1.0,2.2,0.0,7.379599999999999,713.8,1.4009526478005045,3.08209582516111,0.13550869965851808
Alife,Campania,10.636363636363637,17.454545454545453,1.3636363636363635,64.31716363636363,7420.818181818182,1.4333141408078012,2.535863479890725,0.16537364266402524
Alimena,Sicilia,1.1818181818181819,2.0,0.09090909090909091,59.6975,1899.8181818181818,0.6220690975212939,1.1005837879222893,0.019796778455013726
Aliminusa,Sicilia,0.2727272727272727,0.36363636363636365,0.09090909090909091,13.6806,1131.6363636363637,0.24100257069408737,0.40167095115681234,0.019935329790160716
Allai,Sardegna,0.7272727272727273,0.9090909090909091,0.0,27.360363636363637,354.1818181818182,2.053388090349076,2.5667351129363447,0.026581252242793157
Alleghe,Veneto,2.272727272727273,2.8181818181818183,0.2727272727272727,29.714463636363636,1162.0,1.9558754498513538,2.659990611797841,0.07648555600868999
Allein,Valle d'Aosta/Vallée d'Aoste,0.3,0.3,0.0,7.964,216.5,1.3856812933025404,1.3856812933025404,0.03766951280763435
Allerona,Umbria,3.4545454545454546,6.0,0.36363636363636365,82.61259090909091,1732.7272727272727,1.9937040923399791,3.6726128016789086,0.041816210053827366
Alliste,Puglia,6.636363636363637,11.454545454545455,0.18181818181818182,23.5298,6551.636363636364,1.0129322306710329,1.7761003496697563,0.28204080087224015
Allumiere,Lazio,6.818181818181818,11.363636363636363,0.0,92.16360909090908,3889.0,1.7531966619135557,2.9219944365225925,0.0739791104692574
Alluvioni Cambiò,Piemonte,0.75,1.0,0.0,9.1382,913.75,0.8207934336525308,1.094391244870041,0.0820730559628811
Alluvioni Piovera,Piemonte,1.7142857142857142,1.8571428571428572,0.14285714285714285,24.7841,1637.4285714285713,1.0469377072064212,1.221427325074158,0.06916877006975095
Almenno San Bartolomeo,Lombardia,8.181818181818182,9.727272727272727,0.2727272727272727,10.606436363636364,6368.363636363636,1.2847598926511734,1.5702620910181009,0.7714012417845767
Almenno San Salvatore,Lombardia,9.636363636363637,12.363636363636363,0.36363636363636365,4.730463636363637,5635.363636363636,1.7099808030457018,2.2584652115697947,2.0370865050706155
Almese,Piemonte,4.545454545454546,6.090909090909091,0.09090909090909091,17.875054545454546,6365.0,0.7141326858530315,0.9712204527601228,0.25429038741649107
Almè,Lombardia,14.0,17.272727272727273,0.18181818181818182,2.0002636363636364,5552.545454545455,2.521366122007924,3.1435213988670228,6.999077394343473
Alonte,Veneto,3.6363636363636362,6.7272727272727275,0.0,11.144145454545455,1611.6363636363637,2.256317689530686,4.174187725631769,0.3263025999791166
Alpago,Veneto,11.444444444444445,15.555555555555555,0.1111111111111111,80.34066666666666,6721.888888888889,1.7025637634924047,2.3306940840041657,0.14244896039918903
Alpette,Piemonte,0.3,0.8,0.0,5.6276,250.7,1.1966493817311528,3.191065017949741,0.053308692870850806
Alpignano,Piemonte,27.0,36.90909090909091,0.18181818181818182,11.9193,16893.909090909092,1.5982091447697662,2.1955196332190727,2.2652336966097004
Alseno,Emilia-Romagna,21.545454545454547,36.18181818181818,0.9090909090909091,55.26942727272728,4696.272727272727,4.587777541183531,7.897946146847596,0.3898259057243056
Alserio,Lombardia,0.5,0.9,0.0,1.9921,1280.5,0.39047247169074584,0.7028504490433424,0.2509914160935696
Alta Val Tidone,Emilia-Romagna,5.857142857142857,7.142857142857143,0.14285714285714285,100.86062857142858,2937.5714285714284,1.9938724894227495,2.4801828526965912,0.058071647382158455
Alta Valle Intelvi,Lombardia,4.5,6.125,0.125,24.9508,3019.625,1.4902512729229624,2.0697934346152254,0.1803549385190054
Altamura,Puglia,160.36363636363637,295.90909090909093,3.6363636363636362,431.36992727272724,70033.63636363637,2.2898087931773046,4.2771655178680374,0.37175432552174376
Altare,Liguria,14.0,23.727272727272727,0.36363636363636365,11.2964,1999.1818181818182,7.00286480833068,12.050384248101494,1.2393328848128606
